pop	sample	n_loci	n_used_fw_reads	mean_cov	mean_cov_ns
BA	BA49832-p..sort	36856	340323	9.234	10.104
BA	BA49838-p..sort	22223	116640	5.249	5.872
BA	BA49850-p..sort	36172	392119	10.840	11.908
BA	BA49852-p..sort	40483	879161	21.717	25.042
BC	BC49559-p..sort	64598	352975	5.464	9.638
BC	BC49563-p..sort	68823	766065	11.131	18.673
BC	BC49596-p..sort	61977	493048	7.955	12.597
BC	BC49598-p..sort	86772	1324308	15.262	30.190
BC	BC49619-p..sort	54496	693959	12.734	17.126
BC	BC49635-p..sort	61593	707729	11.490	17.500
BC	BC49637-p..sort	48677	390959	8.032	10.419
BC	BC49653-p..sort	56396	565873	10.034	14.423
BC	BC49679-p..sort	47042	319764	6.797	8.648
BC	BC49684-p..sort	48056	646146	13.446	16.052
CN	CN70301-p..sort	49863	849277	17.032	19.927
CN	CN70302-p..sort	63314	1579393	24.945	35.028
CN	CN70303-p..sort	47285	711297	15.043	16.981
CN	CN70304-p..sort	61667	1520765	24.661	33.933
CN	CN70305-p..sort	76216	2167931	28.445	44.942
CN	CN70306-p..sort	80425	2311680	28.743	47.767
CN	CN70307-p..sort	55819	1132727	20.293	25.722
CN	CN70308-p..sort	81681	3342455	40.921	68.050
CN	CN70309-p..sort	72631	2261150	31.132	47.804
CN	CN70310-p..sort	45939	527707	11.487	13.043
CN	CN70311-p..sort	67235	2257774	33.580	48.904
CN	CN70312-p..sort	44738	528563	11.815	13.403
CN	CN70313-p..sort	91554	3934142	42.971	77.679
CN	CN70314-p..sort	84960	3156817	37.157	63.489
CN	CN70316-p..sort	59321	1433864	24.171	32.149
CN	CN70317-p..sort	87459	3265118	37.333	65.576
CN	CN70318-p..sort	52266	1170337	22.392	27.108
CN	CN70319-p..sort	44061	453817	10.300	11.358
CN	CN70320-p..sort	92709	3622746	39.077	71.610
CS	CS69277-p..sort	98377	5586745	56.789	108.463
CS	CS69279-p..sort	101252	5008358	49.464	96.061
CS	CS69280-p..sort	118309	5304247	44.834	99.191
CS	CS69281-p..sort	108220	6316870	58.371	119.331
CS	CS69282-p..sort	118238	7319113	61.902	136.194
CS	CS69283-p..sort	122595	7647534	62.380	139.556
CS	CS69284-p..sort	123803	8531092	68.909	154.536
CS	CS69290-p..sort	86927	3485860	40.101	70.299
CS	CS69291-p..sort	129330	8397287	64.929	152.666
CS	CS69292-p..sort	106626	5595494	52.478	105.045
CS	CS69293-p..sort	108967	5395039	49.511	102.399
CS	CS69319-p..sort	45447	435120	9.574	11.131
CS	CS69320-p..sort	110203	5087346	46.163	97.047
CS	CS69321-p..sort	75608	2751966	36.398	63.231
CS	CS69322-p..sort	55759	1094170	19.623	26.223
CS	CS69324-p..sort	99987	2969268	29.697	65.726
CS	CS69338-p..sort	54809	1477858	26.964	35.087
CS	CS69394-p..sort	59072	5444000	92.159	125.395
CS	CS69395-p..sort	63928	4657213	72.851	106.282
CS	CS69396-p..sort	101722	4762442	46.818	90.579
CS	CS69397-p..sort	74670	7809261	104.584	171.838
CS	CS69419-p..sort	101795	5112597	50.224	97.537
CS	CS69420-L1WQC01-p..sort	110388	6680696	60.520	124.588
CS	CS69421-p..sort	97974	4829834	49.297	93.196
CS	CS69422-p..sort	121802	7169028	58.858	129.723
CS	CS69423-p..sort	120556	8839142	73.320	162.144
CS	CS69424-p..sort	114508	6453782	56.361	119.585
CS	CS69425-p..sort	119497	7591099	63.525	138.946
CS	CS69426-p..sort	107494	5457029	50.766	103.449
CS	CS69427-p..sort	71621	5037822	70.340	113.808
CS	CS69428-p..sort	104892	5756193	54.877	110.821
CS	CS69429-p..sort	70945	1744447	24.589	37.074
CS	CS69430-p..sort	116313	7588172	65.239	140.316
CS	CS69431-p..sort	117325	7744522	66.009	141.913
CS	CS69432-p..sort	114733	6913857	60.260	127.314
CS	CS69433-p..sort	104071	4744499	45.589	92.125
CS	CS69447-p..sort	115757	6280696	54.258	116.743
CS	CS69448-p..sort	124807	9096328	72.883	165.047
CS	CS69449-p..sort	99214	3829356	38.597	74.657
HN	HN11439-L2BQCHN-p..sort	49472	4637447	93.739	121.120
HN	HN11442-p..sort	75037	4454501	59.364	94.171
HN	HN11457-p..sort	64879	3785795	58.352	83.718
HN	HN11458-p..sort	57937	4258369	73.500	98.718
HN	HN11459-p..sort	52709	4047828	76.796	94.687
HN	HN11460-p..sort	58528	3315651	56.651	76.345
HN	HN11462-p..sort	57013	2197893	38.551	51.108
HN	HN11464-p..sort	66185	5513172	83.299	121.531
HN	HN11465-p..sort	69910	8866455	126.827	193.716
HN	HN11466-p..sort	50400	2256652	44.775	54.013
HN	HN11467-p..sort	65657	5185428	78.978	115.591
HN	HN11468-p..sort	58471	3409943	58.319	77.904
HN	HN11469-p..sort	73926	9100459	123.102	201.453
HN	HN11470-p..sort	55847	4243123	75.978	98.506
HN	HN11471-p..sort	56151	4015632	71.515	93.180
HN	HN11472-p..sort	75127	6442965	85.761	140.919
HN	HN11473-p..sort	60842	4677162	76.874	106.478
HN	HN11474-p..sort	59375	4289146	72.238	96.868
HN	HN11476-p..sort	50399	2239186	44.429	53.469
HN	HN11477-p..sort	80732	4204135	52.075	86.742
HN	HN11478-p..sort	64729	4004827	61.871	89.621
HN	HN11479-p..sort	60316	5494498	91.095	123.927
HN	HN12058-p..sort	66513	3498202	52.594	77.550
HN	HN12059-p..sort	57928	4844495	83.630	110.612
HN	HN12060-p..sort	60796	4286947	70.514	95.459
HN	HN12061-p..sort	60921	5297561	86.958	119.673
HN	HN12062-p..sort	78866	5611701	71.155	124.744
HN	HN12063-p..sort	62904	4213397	66.981	94.218
HW	HW75302-p..sort	47204	984176	20.849	27.686
HW	HW75303-p..sort	54339	1231386	22.661	32.445
HW	HW75304-p..sort	54609	1539525	28.192	39.749
HW	HW75305-p..sort	65644	3217377	49.013	81.035
HW	HW75306-p..sort	48308	948765	19.640	26.821
HW	HW75308-p..sort	53582	1486454	27.742	40.032
HW	HW75309-p..sort	58816	1200952	20.419	31.137
HW	HW75310-p..sort	65445	3380500	51.654	78.031
HW	HW75312-p..sort	47530	731002	15.380	20.340
HW	HW75313-L2WQC04-p..sort	60964	1730256	28.382	45.192
HW	HW75314-p..sort	59162	1747430	29.536	41.873
HW	HW75315-p..sort	46987	1037595	22.083	28.090
HW	HW75316-p..sort	48416	1235673	25.522	34.173
HW	HW75317-p..sort	50636	855174	16.889	23.855
HW	HW75318-p..sort	55031	2029497	36.879	52.394
HW	HW75319-p..sort	48555	1133673	23.348	30.943
HW	HW75320-p..sort	71368	2845943	39.877	63.762
HW	HW75322-p..sort	53823	2172796	40.369	56.977
HW	HW75323-p..sort	46804	1177947	25.168	32.860
HW	HW75324-p..sort	51589	1037194	20.105	27.989
HW	HW75325-p..sort	50118	997036	19.894	27.832
HW	HW75326-p..sort	47914	2308871	48.188	61.102
HW	HW75327-p..sort	52893	1208814	22.854	32.741
HW	HW75328-p..sort	59642	1798115	30.148	47.295
HW	HW75330-p..sort	61209	3762765	61.474	85.360
JP	JP88802-p..sort	41865	1262011	30.145	35.215
JP	JP88805-p..sort	58248	1839024	31.572	42.234
JP	JP88807-p..sort	49757	1950263	39.196	51.491
JP	JP88808-p..sort	45323	1176028	25.948	31.510
JP	JP88809-p..sort	48598	3581258	73.691	94.594
JP	JP88811-p..sort	63688	4323041	67.878	95.834
JP	JP88812-p..sort	59540	1757300	29.515	41.734
JP	JP88813-p..sort	42710	1628474	38.129	45.498
JP	JP88814-p..sort	55595	4688683	84.336	120.334
JP	JP88818-p..sort	43763	1644463	37.577	46.145
JP	JP88819-p..sort	57059	4893945	85.770	126.183
JP	JP88820-p..sort	52893	2056486	38.880	48.809
JP	JP88822-p..sort	43878	1285672	29.301	35.947
JP	JP88823-p..sort	49122	2666996	54.293	71.923
JP	JP88824-p..sort	53195	2674021	50.268	69.336
JP	JP88825-p..sort	50575	2805314	55.468	74.399
JP	JP88827-p..sort	48573	745459	15.347	18.490
JP	JP88828-p..sort	44053	1673900	37.997	46.145
JP	JP88829-p..sort	44068	1486509	33.732	41.153
JP	JP88830-p..sort	45441	2127126	46.811	56.990
JP	JP88831-p..sort	46495	1527817	32.860	41.032
